SampleID,bare_rock,bare_sand,bedrock,boulder,cobble,Relief_0_pt1,Relief_1_2,Relief_greater2,Relief_pt1_1,sand,sediment,shell_hash,Year,Longitude,Latitude,DeepestSurvey,MeanSST,NumbNearSites,Slope,Island_Mainland,LittoralDrift,ReefAreaRevised,SiteCode,SST,SST1,SST2,ENSO,ENSO1,ENSO2,settlement1,settlement2,ref_1980,ref_10yr,ref_5yr,calval_1980,calval_5yr,ref_notrain_1980,ref_notrain_5yr
94_2004,8.054166667,7.5,22.7775,45.27833333,16.38833333,20.83416667,37.5,3.055833333,38.6125,15.55583333,0,9.273333333,2004,-118.36587,32.83663,32.6,17.57,3,11.974419,Island,0,414896.6783,94,17.838,17.568,17.382,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,Yes,No,No,Test,Test,Yes,No
94_2008,5.991428571,16.59,23.50428571,38.24857143,16.58857143,41.01285714,10.13714286,5.53,43.31857143,21.65857143,0,5.07,2008,-118.36587,32.83663,32.6,17.57,3,11.974419,Island,0,414896.6783,94,17.634,17.412,18.342,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,Yes,No,No,Test,Test,Yes,No
94_2011,1.6125,12.095,82.2575,8.065,4.0325,0,41.1325,27.42,31.45,5.645,0,1.6125,2011,-118.36587,32.83663,32.6,17.57,3,11.974419,Island,0,414896.6783,94,17.166,16.464,17.724,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,Yes,No,No,Test,Test,Yes,No
94_2012,2.42,3.62875,77.41875,10.48375,2.41875,11.29,15.7275,52.42,20.5625,9.67875,0,0,2012,-118.36587,32.83663,32.6,17.57,3,11.974419,Island,0,414896.6783,94,17.64,17.166,16.464,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,Yes,No,No,Cal,Test,No,No
95_2012,0,8.065,78.22625,12.09625,3.62875,0,37.09625,13.70875,49.19375,6.04875,0,0.40375,2012,-118.49016,32.84186,25,16.84,3,6.374449,Island,0,7125337.597,95,16.728,16.386,16.05,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
96_2012,0,4.838333333,91.935,6.99,0,3.765,25.26666667,5.376666667,65.59333333,1.075,0,0.538333333,2012,-118.58382,33.03225,18.3,16.96,4,1.556585,Island,0,2043790.862,96,17.292,16.56,16.014,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Cal,No,No
97_2012,1.613333333,11.82833333,83.33333333,6.451666667,0,3.763333333,22.04166667,38.17333333,36.02166667,10.215,0,0,2012,-118.41043,32.869,20.3,17.66,4,17.026082,Island,0,0,97,17.862,17.118,17.34,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
98_2004,1.389166667,4.7225,45.8325,27.77833333,20,40.8325,12.22166667,8.333333333,38.61166667,6.388333333,0,0.8325,2004,-118.37115,32.8155,30.6,17.38,3,3.578641,Island,0,3494645.733,98,17.796,17.352,17.31,0.40775,0.448333333,0.577166667,202.4952452,596.8257782,No,No,No,Test,Test,No,No
98_2008,1.6125,6.04875,68.14625,13.71125,8.87125,24.19375,22.9825,29.83875,22.98375,9.27375,0,3.62875,2008,-118.37115,32.8155,30.6,17.38,3,3.578641,Island,0,3494645.733,98,17.598,17.388,17.73,-0.686166667,-0.34275,0.301166667,465.6675193,510.6418485,No,No,No,Test,Test,No,No
98_2011,3.63,8.065,80.64625,5.645,8.87,2.01625,21.37125,18.145,58.46625,4.84,0,0,2011,-118.37115,32.8155,30.6,17.38,3,3.578641,Island,0,3494645.733,98,16.668,16.644,17.574,-0.92675,-0.43375,0.39075,162.1459364,152.6976326,No,No,No,Test,Test,No,No
98_2012,1.21125,2.82375,89.92,2.82375,3.63,0.8075,20.16125,30.645,48.38875,3.63,0,0.40375,2012,-118.37115,32.8155,30.6,17.38,3,3.578641,Island,0,3494645.733,98,17.424,16.668,16.644,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,No,Test,Test,No,No
99_2012,1.61375,8.06625,75.80625,17.34,0,3.62875,26.21,4.83875,65.3225,6.855,0,0.80625,2012,-118.56347,33.02639,25,17.01,4,8.093966,Island,0,190927.761,99,17.292,16.656,16.236,0.142833333,-0.92675,-0.43375,91.05772947,162.1459364,No,No,Yes,Test,Cal,No,No
